Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.542,5,0.508,0.271,0.75,0.023
0,acl,aclCreateTensorDesc,7.417,5,1.483,0.646,2.646,0.707
0,acl,aclDestroyTensorDesc,5.958,5,1.192,0.542,2.438,0.488
0,acl,aclMallocMemInner,2411.321,10,241.132,90.794,1466.489,167413.607
0,acl,aclnnAddcmul,2706.056,1,2706.056,2706.056,2706.056,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,135398.86,1,135398.86,135398.86,135398.86,0.0
0,acl,aclnnAddcmulTiling,212.025,1,212.025,212.025,212.025,0.0
0,acl,aclrtCreateStream,2815.142,1,2815.142,2815.142,2815.142,0.0
0,acl,aclrtDestroyStream,1180.316,1,1180.316,1180.316,1180.316,0.0
0,acl,aclrtFree,1060.668,10,106.067,65.293,254.984,3615.454
0,acl,aclrtMalloc,2664.805,10,266.481,107.336,1516.802,174329.244
0,acl,aclrtMemcpy,292.944,5,58.589,29.126,79.022,395.169
0,acl,aclrtResetDevice,12852.955,1,12852.955,12852.955,12852.955,0.0
0,acl,aclrtSetDevice,180160017520.656,1,180160017520.656,180160017520.656,180160017520.656,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1094.106,1,1094.106,1094.106,1094.106,0.0
0,node,launch,2460.176,1,2460.176,2460.176,2460.176,0.0
