Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.146,5,0.429,0.313,0.625,0.011
0,acl,aclCreateTensorDesc,7.854,5,1.571,0.708,2.708,0.677
0,acl,aclDestroyTensorDesc,5.708,5,1.142,0.5,2.604,0.568
0,acl,aclMallocMemInner,2410.321,10,241.032,80.356,1552.699,191259.221
0,acl,aclnnAddcmul,2479.822,1,2479.822,2479.822,2479.822,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,128285.212,1,128285.212,128285.212,128285.212,0.0
0,acl,aclnnAddcmulTiling,234.401,1,234.401,234.401,234.401,0.0
0,acl,aclrtCreateStream,2272.568,1,2272.568,2272.568,2272.568,0.0
0,acl,aclrtDestroyStream,967.666,1,967.666,967.666,967.666,0.0
0,acl,aclrtFree,1317.382,10,131.738,61.168,322.903,4818.262
0,acl,aclrtMalloc,2657.014,10,265.701,94.939,1591.846,195607.581
0,acl,aclrtMemcpy,476.177,5,95.235,47.897,161.858,1483.472
0,acl,aclrtResetDevice,33958.707,1,33958.707,33958.707,33958.707,0.0
0,acl,aclrtSetDevice,181927118653.261,1,181927118653.261,181927118653.261,181927118653.261,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,809.85,1,809.85,809.85,809.85,0.0
0,node,launch,2224.213,1,2224.213,2224.213,2224.213,0.0
