Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.104,5,0.421,0.313,0.604,0.01
0,acl,aclCreateTensorDesc,6.375,5,1.275,0.625,2.25,0.503
0,acl,aclDestroyTensorDesc,4.896,5,0.979,0.563,1.875,0.215
0,acl,aclMallocMemInner,2686.743,10,268.674,93.752,1401.842,145836.261
0,acl,aclnnAddcmul,5512.823,1,5512.823,5512.823,5512.823,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,146440.006,1,146440.006,146440.006,146440.006,0.0
0,acl,aclnnAddcmulTiling,343.778,1,343.778,343.778,343.778,0.0
0,acl,aclrtCreateStream,2457.989,1,2457.989,2457.989,2457.989,0.0
0,acl,aclrtDestroyStream,1087.918,1,1087.918,1087.918,1087.918,0.0
0,acl,aclrtFree,932.144,10,93.214,59.147,155.982,1068.272
0,acl,aclrtMalloc,2898.164,10,289.816,109.544,1426.926,147611.195
0,acl,aclrtMemcpy,319.527,5,63.905,32.251,80.648,373.309
0,acl,aclrtResetDevice,14054.751,1,14054.751,14054.751,14054.751,0.0
0,acl,aclrtSetDevice,182492508461.374,1,182492508461.374,182492508461.374,182492508461.374,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1071.751,1,1071.751,1071.751,1071.751,0.0
0,node,launch,3795.704,1,3795.704,3795.704,3795.704,0.0
