Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,3.271,5,0.654,0.354,1.458,0.171
0,acl,aclCreateTensorDesc,8.5,5,1.7,0.667,3.708,1.303
0,acl,aclDestroyTensorDesc,5.646,5,1.129,0.5,2.542,0.585
0,acl,aclMallocMemInner,3603.054,10,360.305,169.358,1222.296,136481.113
0,acl,aclnnAddcmul,9457.884,1,9457.884,9457.884,9457.884,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,217737.136,1,217737.136,217737.136,217737.136,0.0
0,acl,aclnnAddcmulTiling,284.902,1,284.902,284.902,284.902,0.0
0,acl,aclrtCreateStream,2408.404,1,2408.404,2408.404,2408.404,0.0
0,acl,aclrtDestroyStream,2280.777,1,2280.777,2280.777,2280.777,0.0
0,acl,aclrtFree,6446.738,10,644.674,63.564,3106.377,1274636.587
0,acl,aclrtMalloc,6688.952,10,668.895,199.65,3285.443,954081.058
0,acl,aclrtMemcpy,2407.883,5,481.577,152.066,1092.648,143204.425
0,acl,aclrtResetDevice,10289.297,1,10289.297,10289.297,10289.297,0.0
0,acl,aclrtSetDevice,182635279988.786,1,182635279988.786,182635279988.786,182635279988.786,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1560.178,1,1560.178,1560.178,1560.178,0.0
0,node,launch,2404.717,1,2404.717,2404.717,2404.717,0.0
