Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.729,5,0.546,0.417,0.75,0.019
0,acl,aclCreateTensorDesc,7.25,5,1.45,0.604,2.521,0.579
0,acl,aclDestroyTensorDesc,6.083,5,1.217,0.5,2.979,0.865
0,acl,aclMallocMemInner,3238.192,10,323.819,90.231,1935.874,300381.311
0,acl,aclnnAddcmul,2751.953,1,2751.953,2751.953,2751.953,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,133442.569,1,133442.569,133442.569,133442.569,0.0
0,acl,aclnnAddcmulTiling,269.651,1,269.651,269.651,269.651,0.0
0,acl,aclrtCreateStream,2127.836,1,2127.836,2127.836,2127.836,0.0
0,acl,aclrtDestroyStream,1390.112,1,1390.112,1390.112,1390.112,0.0
0,acl,aclrtFree,1716.119,10,171.612,65.835,386.529,12560.956
0,acl,aclrtMalloc,3544.303,10,354.43,106.336,1975.854,306320.154
0,acl,aclrtMemcpy,294.777,5,58.955,35.897,81.335,380.403
0,acl,aclrtResetDevice,14702.994,1,14702.994,14702.994,14702.994,0.0
0,acl,aclrtSetDevice,183224545563.396,1,183224545563.396,183224545563.396,183224545563.396,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,2417.571,1,2417.571,2417.571,2417.571,0.0
0,node,launch,2325.278,1,2325.278,2325.278,2325.278,0.0
