Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.167,5,0.433,0.354,0.604,0.008
0,acl,aclCreateTensorDesc,7.333,5,1.467,0.604,2.667,0.675
0,acl,aclDestroyTensorDesc,5.375,5,1.075,0.521,2.521,0.552
0,acl,aclMallocMemInner,2754.411,10,275.441,81.877,1487.51,176605.227
0,acl,aclnnAddcmul,4410.363,1,4410.363,4410.363,4410.363,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,128007.268,1,128007.268,128007.268,128007.268,0.0
0,acl,aclnnAddcmulTiling,229.921,1,229.921,229.921,229.921,0.0
0,acl,aclrtCreateStream,2200.358,1,2200.358,2200.358,2200.358,0.0
0,acl,aclrtDestroyStream,1209.108,1,1209.108,1209.108,1209.108,0.0
0,acl,aclrtFree,831.767,10,83.177,56.168,179.087,1412.938
0,acl,aclrtMalloc,2961.707,10,296.171,95.544,1512.886,179618.789
0,acl,aclrtMemcpy,476.677,5,95.335,31.417,319.236,12569.922
0,acl,aclrtResetDevice,6839.642,1,6839.642,6839.642,6839.642,0.0
0,acl,aclrtSetDevice,183974756297.199,1,183974756297.199,183974756297.199,183974756297.199,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1416.363,1,1416.363,1416.363,1416.363,0.0
0,node,launch,3956.312,1,3956.312,3956.312,3956.312,0.0
