Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.646,5,0.529,0.417,0.646,0.007
0,acl,aclCreateTensorDesc,7.188,5,1.438,0.708,2.604,0.692
0,acl,aclDestroyTensorDesc,5.958,5,1.192,0.5,2.688,0.706
0,acl,aclMallocMemInner,2828.142,10,282.814,92.96,1383.945,143004.862
0,acl,aclnnAddcmul,3499.906,1,3499.906,3499.906,3499.906,0.0
0,acl,aclnnAddcmulGetWorkspaceSize,218690.968,1,218690.968,218690.968,218690.968,0.0
0,acl,aclnnAddcmulTiling,284.006,1,284.006,284.006,284.006,0.0
0,acl,aclrtCreateStream,2569.887,1,2569.887,2569.887,2569.887,0.0
0,acl,aclrtDestroyStream,1433.321,1,1433.321,1433.321,1433.321,0.0
0,acl,aclrtFree,1003.667,10,100.367,62.335,318.34,5501.092
0,acl,aclrtMalloc,3066.105,10,306.611,110.252,1425.196,147918.037
0,acl,aclrtMemcpy,950.582,5,190.116,62.71,604.513,43326.754
0,acl,aclrtResetDevice,15432.571,1,15432.571,15432.571,15432.571,0.0
0,acl,aclrtSetDevice,219473748400.639,1,219473748400.639,219473748400.639,219473748400.639,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1592.429,1,1592.429,1592.429,1592.429,0.0
0,node,launch,2872.935,1,2872.935,2872.935,2872.935,0.0
