Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.75,2,0.875,0.479,1.271,0.157
0,acl,aclCreateTensorDesc,2.813,2,1.407,0.75,2.063,0.431
0,acl,aclDestroyTensorDesc,3.458,2,1.729,0.646,2.813,1.173
0,acl,aclMallocMemInner,3737.119,4,934.28,184.441,2666.264,1040879.979
0,acl,aclnnFastGelu,4337.528,1,4337.528,4337.528,4337.528,0.0
0,acl,aclnnFastGeluGetWorkspaceSize,471717.005,1,471717.005,471717.005,471717.005,0.0
0,acl,aclnnFastGeluTiling,205.296,1,205.296,205.296,205.296,0.0
0,acl,aclrtCreateStream,3722.202,1,3722.202,3722.202,3722.202,0.0
0,acl,aclrtDestroyStream,13359.341,1,13359.341,13359.341,13359.341,0.0
0,acl,aclrtFree,288.298,4,72.075,59.001,107.94,429.818
0,acl,aclrtMalloc,3877.143,4,969.286,220.109,2705.806,1045584.184
0,acl,aclrtMemcpy,198.233,2,99.117,53.355,144.878,2094.103
0,acl,aclrtResetDevice,21473.968,1,21473.968,21473.968,21473.968,0.0
0,acl,aclrtSetDevice,225283444222.204,1,225283444222.204,225283444222.204,225283444222.204,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,2398.925,1,2398.925,2398.925,2398.925,0.0
0,node,launch,4095.794,1,4095.794,4095.794,4095.794,0.0
