Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,2.083,4,0.521,0.458,0.583,0.002
0,acl,aclCreateTensorDesc,6.646,4,1.661,0.708,2.479,0.648
0,acl,aclDestroyTensorDesc,5.271,4,1.318,0.563,2.146,0.349
0,acl,aclMallocMemInner,3863.81,8,482.976,117.273,1193.733,158049.843
0,acl,aclnnMseLossGrad,1890.185,1,1890.185,1890.185,1890.185,0.0
0,acl,aclnnMseLossGradGetWorkspaceSize,199152.957,1,199152.957,199152.957,199152.957,0.0
0,acl,aclnnMseLossGradTiling,156.837,1,156.837,156.837,156.837,0.0
0,acl,aclrtCreateStream,1390.071,1,1390.071,1390.071,1390.071,0.0
0,acl,aclrtDestroyStream,1431.634,1,1431.634,1431.634,1431.634,0.0
0,acl,aclrtFree,1601.596,8,200.2,68.085,793.433,54445.881
0,acl,aclrtMalloc,4155.941,8,519.493,138.086,1228.838,157535.238
0,acl,aclrtMemcpy,815.434,4,203.858,77.543,433.551,18996.828
0,acl,aclrtResetDevice,13778.287,1,13778.287,13778.287,13778.287,0.0
0,acl,aclrtSetDevice,65806687846.941,1,65806687846.941,65806687846.941,65806687846.941,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,423.446,1,423.446,423.446,423.446,0.0
0,node,launch,1641.868,1,1641.868,1641.868,1641.868,0.0
