Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.229,2,0.615,0.396,0.833,0.048
0,acl,aclCreateTensorDesc,3.688,2,1.844,0.938,2.75,0.821
0,acl,aclDestroyTensorDesc,3.146,2,1.573,1.104,2.042,0.22
0,acl,aclMallocMemInner,2333.444,4,583.361,177.15,1732.994,440756.751
0,acl,aclnnLpNormV2,4565.616,1,4565.616,4565.616,4565.616,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,411625.379,1,411625.379,411625.379,411625.379,0.0
0,acl,aclnnLpNormV2Tiling,344.466,1,344.466,344.466,344.466,0.0
0,acl,aclrtCreateStream,3832.663,1,3832.663,3832.663,3832.663,0.0
0,acl,aclrtDestroyStream,2416.467,1,2416.467,2416.467,2416.467,0.0
0,acl,aclrtFree,1263.026,4,315.757,69.897,662.389,56955.175
0,acl,aclrtMalloc,2481.572,4,620.393,211.129,1782.975,450723.086
0,acl,aclrtMemcpy,1744.203,2,872.101,39.438,1704.765,693327.943
0,acl,aclrtResetDevice,13204.587,1,13204.587,13204.587,13204.587,0.0
0,acl,aclrtSetDevice,4384776969.879,1,4384776969.879,4384776969.879,4384776969.879,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,925.498,1,925.498,925.498,925.498,0.0
0,node,launch,3823.35,1,3823.35,3823.35,3823.35,0.0
