Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,0.979,2,0.489,0.313,0.667,0.032
0,acl,aclCreateTensorDesc,3.042,2,1.521,0.667,2.375,0.73
0,acl,aclDestroyTensorDesc,3.438,2,1.719,0.875,2.563,0.712
0,acl,aclMallocMemInner,1743.453,4,435.863,96.752,1435.947,333413.059
0,acl,aclnnLpNormV2,2957.312,1,2957.312,2957.312,2957.312,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,233522.506,1,233522.506,233522.506,233522.506,0.0
0,acl,aclnnLpNormV2Tiling,388.487,1,388.487,388.487,388.487,0.0
0,acl,aclrtCreateStream,1480.947,1,1480.947,1480.947,1480.947,0.0
0,acl,aclrtDestroyStream,1184.004,1,1184.004,1184.004,1184.004,0.0
0,acl,aclrtFree,1550.261,4,387.565,71.981,719.057,89508.633
0,acl,aclrtMalloc,1846.705,4,461.676,116.065,1458.676,331404.393
0,acl,aclrtMemcpy,917.477,2,458.738,113.732,803.746,119029.954
0,acl,aclrtResetDevice,10383.549,1,10383.549,10383.549,10383.549,0.0
0,acl,aclrtSetDevice,4443374755.633,1,4443374755.633,4443374755.633,4443374755.633,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,897.519,1,897.519,897.519,897.519,0.0
0,node,launch,2451.114,1,2451.114,2451.114,2451.114,0.0
