Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.063,2,0.531,0.479,0.583,0.003
0,acl,aclCreateTensorDesc,3.188,2,1.594,0.646,2.542,0.899
0,acl,aclDestroyTensorDesc,3.125,2,1.562,1.021,2.104,0.293
0,acl,aclMallocMemInner,1980.77,4,495.192,107.023,1435.072,301360.067
0,acl,aclnnLpNormV2,3122.107,1,3122.107,3122.107,3122.107,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,274104.851,1,274104.851,274104.851,274104.851,0.0
0,acl,aclnnLpNormV2Tiling,254.651,1,254.651,254.651,254.651,0.0
0,acl,aclrtCreateStream,2156.399,1,2156.399,2156.399,2156.399,0.0
0,acl,aclrtDestroyStream,2414.217,1,2414.217,2414.217,2414.217,0.0
0,acl,aclrtFree,1376.445,4,344.111,73.147,666.785,46220.255
0,acl,aclrtMalloc,2073.147,4,518.287,126.232,1456.197,299788.118
0,acl,aclrtMemcpy,117.836,1,117.836,117.836,117.836,0.0
0,acl,aclrtResetDevice,13890.643,1,13890.643,13890.643,13890.643,0.0
0,acl,aclrtSetDevice,41943609031.384,1,41943609031.384,41943609031.384,41943609031.384,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,6716.515,1,6716.515,6716.515,6716.515,0.0
0,node,launch,2871.268,1,2871.268,2871.268,2871.268,0.0
