Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.625,2,0.812,0.479,1.146,0.111
0,acl,aclCreateTensorDesc,3.333,2,1.667,0.938,2.396,0.532
0,acl,aclDestroyTensorDesc,3.667,2,1.833,1.292,2.375,0.293
0,acl,aclMallocMemInner,12141.357,4,3035.339,96.835,11829.475,25778963.542
0,acl,aclnnLpNormV2,2529.719,1,2529.719,2529.719,2529.719,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,214120.394,1,214120.394,214120.394,214120.394,0.0
0,acl,aclnnLpNormV2Tiling,254.901,1,254.901,254.901,254.901,0.0
0,acl,aclrtCreateStream,23287.36,1,23287.36,23287.36,23287.36,0.0
0,acl,aclrtDestroyStream,2218.421,1,2218.421,2218.421,2218.421,0.0
0,acl,aclrtFree,1047.126,4,261.781,72.064,446.03,30108.312
0,acl,aclrtMalloc,12233.171,4,3058.293,123.023,11851.559,25773852.758
0,acl,aclrtMemcpy,68.564,1,68.564,68.564,68.564,0.0
0,acl,aclrtResetDevice,12104.773,1,12104.773,12104.773,12104.773,0.0
0,acl,aclrtSetDevice,43116038550.219,1,43116038550.219,43116038550.219,43116038550.219,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,6192.316,1,6192.316,6192.316,6192.316,0.0
0,node,launch,2276.193,1,2276.193,2276.193,2276.193,0.0
