Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,0.854,2,0.427,0.354,0.5,0.005
0,acl,aclCreateTensorDesc,2.917,2,1.458,0.583,2.333,0.766
0,acl,aclDestroyTensorDesc,3.313,2,1.657,0.896,2.417,0.578
0,acl,aclMallocMemInner,3308.84,4,827.21,96.19,3008.208,1585591.46
0,acl,aclnnLpNormV2,2529.011,1,2529.011,2529.011,2529.011,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,205200.5,1,205200.5,205200.5,205200.5,0.0
0,acl,aclnnLpNormV2Tiling,275.652,1,275.652,275.652,275.652,0.0
0,acl,aclrtCreateStream,2338.715,1,2338.715,2338.715,2338.715,0.0
0,acl,aclrtDestroyStream,2630.596,1,2630.596,2630.596,2630.596,0.0
0,acl,aclrtFree,463.385,4,115.846,69.647,203.088,2647.169
0,acl,aclrtMalloc,3389.904,4,847.476,113.919,3033.063,1592273.617
0,acl,aclrtMemcpy,310.611,2,155.305,132.899,177.712,502.061
0,acl,aclrtResetDevice,9499.51,1,9499.51,9499.51,9499.51,0.0
0,acl,aclrtSetDevice,43896663087.946,1,43896663087.946,43896663087.946,43896663087.946,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1139.128,1,1139.128,1139.128,1139.128,0.0
0,node,launch,2219.921,1,2219.921,2219.921,2219.921,0.0
