Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.021,2,0.51,0.479,0.542,0.001
0,acl,aclCreateTensorDesc,3.042,2,1.521,0.646,2.396,0.766
0,acl,aclDestroyTensorDesc,3.417,2,1.708,0.792,2.625,0.841
0,acl,aclMallocMemInner,567.199,4,141.8,96.356,218.484,2249.191
0,acl,aclnnLpNormV2,2170.024,1,2170.024,2170.024,2170.024,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,128230.315,1,128230.315,128230.315,128230.315,0.0
0,acl,aclnnLpNormV2Tiling,256.214,1,256.214,256.214,256.214,0.0
0,acl,aclrtCreateStream,919.269,1,919.269,919.269,919.269,0.0
0,acl,aclrtDestroyStream,1449.176,1,1449.176,1449.176,1449.176,0.0
0,acl,aclrtFree,885.81,4,221.452,68.043,613.367,51856.974
0,acl,aclrtMalloc,680.222,4,170.055,114.482,236.672,1896.827
0,acl,aclrtMemcpy,110.669,2,55.334,41.73,68.939,185.081
0,acl,aclrtResetDevice,15594.366,1,15594.366,15594.366,15594.366,0.0
0,acl,aclrtSetDevice,45537979145.087,1,45537979145.087,45537979145.087,45537979145.087,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,443.718,1,443.718,443.718,443.718,0.0
0,node,launch,1919.477,1,1919.477,1919.477,1919.477,0.0
