Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.083,2,0.541,0.542,0.542,0.0
0,acl,aclCreateTensorDesc,3.479,2,1.74,0.667,2.813,1.151
0,acl,aclDestroyTensorDesc,3.979,2,1.99,0.938,3.042,1.107
0,acl,aclMallocMemInner,1351.132,4,337.783,97.252,713.348,58084.291
0,acl,aclnnLpNormV2,26567.615,1,26567.615,26567.615,26567.615,0.0
0,acl,aclnnLpNormV2GetWorkspaceSize,738895.878,1,738895.878,738895.878,738895.878,0.0
0,acl,aclnnLpNormV2Tiling,256.735,1,256.735,256.735,256.735,0.0
0,acl,aclrtCreateStream,1027.501,1,1027.501,1027.501,1027.501,0.0
0,acl,aclrtDestroyStream,20152.919,1,20152.919,20152.919,20152.919,0.0
0,acl,aclrtFree,665.285,4,166.321,120.815,224.963,1532.042
0,acl,aclrtMalloc,2094.898,4,523.725,116.877,793.017,71838.804
0,acl,aclrtMemcpy,287.048,2,143.524,79.668,207.379,4077.524
0,acl,aclrtResetDevice,28512.51,1,28512.51,28512.51,28512.51,0.0
0,acl,aclrtSetDevice,55378657323.951,1,55378657323.951,55378657323.951,55378657323.951,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,749.995,1,749.995,749.995,749.995,0.0
0,node,launch,26242.775,1,26242.775,26242.775,26242.775,0.0
