Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.667,3,0.556,0.396,0.792,0.029
0,acl,aclCreateTensorDesc,5.771,3,1.924,0.875,2.521,0.553
0,acl,aclDestroyTensorDesc,5.167,3,1.722,1.208,2.604,0.392
0,acl,aclMallocMemInner,2131.294,6,355.216,92.377,1607.033,313496.187
0,acl,aclnnScatterSub,2711.431,1,2711.431,2711.431,2711.431,0.0
0,acl,aclnnScatterSubGetWorkspaceSize,207492.464,1,207492.464,207492.464,207492.464,0.0
0,acl,aclnnScatterSubTiling,974.374,1,974.374,974.374,974.374,0.0
0,acl,aclrtCreateStream,2935.624,1,2935.624,2935.624,2935.624,0.0
0,acl,aclrtDestroyStream,1030.855,1,1030.855,1030.855,1030.855,0.0
0,acl,aclrtFree,6507.865,6,1084.644,104.627,5899.519,4636703.74
0,acl,aclrtMalloc,2283.985,6,380.664,109.69,1646.555,320675.999
0,acl,aclrtMemcpy,303.569,3,101.19,69.106,130.19,626.642
0,acl,aclrtResetDevice,19576.428,1,19576.428,19576.428,19576.428,0.0
0,acl,aclrtSetDevice,71270550646.481,1,71270550646.481,71270550646.481,71270550646.481,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,548.324,1,548.324,548.324,548.324,0.0
0,node,launch,2372.508,1,2372.508,2372.508,2372.508,0.0
