Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.563,3,0.521,0.396,0.688,0.015
0,acl,aclCreateTensorDesc,5.833,3,1.944,0.729,2.604,0.74
0,acl,aclDestroyTensorDesc,4.625,3,1.542,1.063,2.229,0.249
0,acl,aclMallocMemInner,2817.579,6,469.597,102.898,1480.385,230693.656
0,acl,aclnnScatterSub,6236.63,1,6236.63,6236.63,6236.63,0.0
0,acl,aclnnScatterSubGetWorkspaceSize,281513.338,1,281513.338,281513.338,281513.338,0.0
0,acl,aclnnScatterSubTiling,257.526,1,257.526,257.526,257.526,0.0
0,acl,aclrtCreateStream,2688.993,1,2688.993,2688.993,2688.993,0.0
0,acl,aclrtDestroyStream,1125.211,1,1125.211,1125.211,1125.211,0.0
0,acl,aclrtFree,1262.755,6,210.459,64.689,904.769,96458.703
0,acl,aclrtMalloc,2988.396,6,498.066,122.794,1505.24,232531.636
0,acl,aclrtMemcpy,141.67,3,47.223,34.751,66.668,194.093
0,acl,aclrtResetDevice,22679.555,1,22679.555,22679.555,22679.555,0.0
0,acl,aclrtSetDevice,83678958334.529,1,83678958334.529,83678958334.529,83678958334.529,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,2005.729,1,2005.729,2005.729,2005.729,0.0
0,node,launch,5899.894,1,5899.894,5899.894,5899.894,0.0
