Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,1.646,3,0.549,0.438,0.646,0.007
0,acl,aclCreateTensorDesc,5.458,3,1.819,0.583,2.604,0.783
0,acl,aclDestroyTensorDesc,4.771,3,1.59,1.313,2.125,0.143
0,acl,aclMallocMemInner,1106.148,6,184.358,94.919,322.84,8308.88
0,acl,aclnnScatterSub,11716.119,1,11716.119,11716.119,11716.119,0.0
0,acl,aclnnScatterSubGetWorkspaceSize,313523.004,1,313523.004,313523.004,313523.004,0.0
0,acl,aclnnScatterSubTiling,357.32,1,357.32,357.32,357.32,0.0
0,acl,aclrtCreateStream,3149.149,1,3149.149,3149.149,3149.149,0.0
0,acl,aclrtDestroyStream,2668.139,1,2668.139,2668.139,2668.139,0.0
0,acl,aclrtFree,742.078,6,123.68,58.939,364.424,11731.824
0,acl,aclrtMalloc,1241.776,6,206.963,112.94,341.799,7687.127
0,acl,aclrtMemcpy,466.239,6,77.706,26.73,132.065,2128.817
0,acl,aclrtResetDevice,22435.925,1,22435.925,22435.925,22435.925,0.0
0,acl,aclrtSetDevice,91858533091.366,1,91858533091.366,91858533091.366,91858533091.366,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1817.059,1,1817.059,1817.059,1817.059,0.0
0,node,launch,11451.509,1,11451.509,11451.509,11451.509,0.0
